Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
2,Garrett Wilson,NYJ,CLE,WR,-,-,-,-2,-,8,102,2,-,-,-,-,30
2,Christian Kirk,JAX,IND,WR,-,-,-,-,-,6,78,2,-,-,-,-,25.8
2,Mike Williams,LAC,KC,WR,-,-,-,-,-,8,113,1,-,-,-,-,25.3
2,Amari Cooper,CLE,NYJ,WR,-,-,-,-,-,9,101,1,-,-,-,-,25.1
2,Drake London,ATL,LA,WR,-,-,-,-,-,8,86,1,-,-,1,-,24.6
2,Nelson Agholor,NE,PIT,WR,-,-,-,-,-,6,110,1,-,-,-,-,23
2,Curtis Samuel,WAS,DET,WR,-,-,-,21,-,7,78,1,-,-,-,-,22.9
2,Rashod Bateman,BAL,MIA,WR,-,-,-,-,-,4,108,1,-,-,-,-,20.8
2,Noah Brown,DAL,CIN,WR,-,-,-,-,-,5,91,1,-,-,-,-,20.1
2,Tyler Lockett,SEA,SF,WR,-,-,-,-,-,9,107,-,-,-,-,-,19.7
2,Courtland Sutton,DEN,HOU,WR,-,-,-,5,-,7,122,-,-,-,-,-,19.7
2,Tee Higgins,CIN,DAL,WR,-,-,-,-,-,6,71,1,-,-,-,-,19.1
2,Jakobi Meyers,NE,PIT,WR,-,-,-,-,-,9,95,-,-,-,-,-,18.5
2,Michael Thomas,NO,TB,WR,-,-,-,-,-,6,65,1,-,-,-,-,18.5
2,Jahan Dotson,WAS,DET,WR,-,-,-,-,-,4,59,1,-,-,1,-,17.9
2,Corey Davis,NYJ,CLE,WR,-,-,-,-,-,2,83,1,-,-,-,-,16.3
2,Greg Dortch,ARI,LV,WR,-,-,-,-,-,4,55,1,-,-,-,-,15.5
2,Allen Robinson,LA,ATL,WR,-,-,-,-,-,4,53,1,-,-,-,-,15.3
2,CeeDee Lamb,DAL,CIN,WR,-,-,-,6,-,7,75,-,-,-,-,-,15.1
2,DeVonta Smith,PHI,MIN,WR,-,-,-,-,-,7,80,-,-,-,-,-,15
2,Quez Watkins,PHI,MIN,WR,-,-,-,-,-,2,69,1,-,-,-,-,14.9
2,Deebo Samuel,SF,SEA,WR,-,-,-,53,-,5,44,-,-,-,-,-,14.7
2,Diontae Johnson,PIT,NE,WR,-,-,-,-,-,6,57,-,-,-,1,-,13.7
2,Breshad Perriman,TB,NO,WR,-,-,-,-,-,3,45,1,-,-,-,-,13.5
2,D.J. Moore,CAR,NYG,WR,-,-,-,-,-,3,43,1,-,-,-,-,13.3
2,Ashton Dulin,IND,JAX,WR,-,-,-,3,-,5,79,-,-,-,-,-,13.2
2,Josh Palmer,LAC,KC,WR,-,-,-,-,-,4,30,1,-,-,-,-,13
2,Justin Watson,KC,LAC,WR,-,-,-,-,-,2,50,1,-,-,-,-,13
2,Marquise Brown,ARI,LV,WR,-,-,-,-,-,6,68,-,-,-,-,-,12.8
2,Josh Reynolds,DET,WAS,WR,-,-,-,-,-,3,38,1,-,-,-,-,12.8
2,Sammy Watkins,GB,CHI,WR,-,-,-,-,-,3,93,-,-,-,-,-,12.3
2,Devin Duvernay,BAL,MIA,WR,-,-,-,-,-,2,42,-,1,-,-,-,12.2
2,Terry McLaurin,WAS,DET,WR,-,-,-,7,-,4,75,-,-,-,-,-,12.2
2,A.J. Brown,PHI,MIN,WR,-,-,-,-,-,5,69,-,-,-,-,-,11.9
2,Mack Hollins,LV,ARI,WR,-,-,-,-,-,5,66,-,-,-,-,-,11.6
2,Brandon Aiyuk,SF,SEA,WR,-,-,-,-,-,5,63,-,-,-,-,-,11.3
2,Chris Olave,NO,TB,WR,-,-,-,-,-,5,80,-,-,-,-,1,11
2,Hunter Renfrow,LV,ARI,WR,-,-,-,-,-,7,59,-,-,-,-,1,10.9
2,Ja'Marr Chase,CIN,DAL,WR,-,-,-,4,-,5,54,-,-,-,-,-,10.8
2,Justin Jefferson,MIN,PHI,WR,-,-,-,-,-,6,48,-,-,-,-,-,10.8
2,Richie James,NYG,CAR,WR,-,-,-,-,-,5,51,-,-,-,-,-,10.1
2,Olamide Zaccheaus,ATL,LA,WR,-,-,-,-,-,2,21,1,-,-,-,-,10.1
2,Nico Collins,HOU,DEN,WR,-,-,-,-,-,4,58,-,-,-,-,-,9.8
