,,,,,Passing,,,Rushing,,Receiving,,,Returns,Misc,,Fumbles,Fantasy
Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
5,Kendrick Bourne,NE,DET,WR,-,-,-,-1,-,1,1,-,-,-,-,-,1
5,Montrell Washington,DEN,IND,WR,-,-,-,9,-,-,-,-,-,-,-,-,0.9
5,Christian Watson,GB,NYG,WR,-,-,-,-3,-,1,1,-,-,-,-,-,0.8
5,Ihmir Smith-Marsette,CHI,MIN,WR,-,-,-,-,-,1,15,-,-,-,-,1,0.5
5,Jamal Agnew,JAX,HOU,WR,-,-,-,3,-,-,-,-,-,-,-,-,0.3
5,Brandon Powell,LA,DAL,WR,-,-,-,1,-,-,-,-,-,-,-,-,0.1
5,Taysom Hill,NO,SEA,TE,22,1,-,112,3,-,-,-,-,-,-,-,34.08
5,Travis Kelce,KC,LV,TE,-,-,-,-,-,7,25,4,-,-,-,-,33.5
5,Mark Andrews,BAL,CIN,TE,-,-,-,-,-,8,89,1,-,-,-,-,22.9
5,Dallas Goedert,PHI,ARI,TE,-,-,-,-,-,8,95,-,-,-,-,-,17.5
5,Hayden Hurst,CIN,BAL,TE,-,-,-,-,-,6,53,1,-,-,-,-,17.3
5,David Njoku,CLE,LAC,TE,-,-,-,-,-,6,88,-,-,-,-,-,14.8
5,Evan Engram,JAX,HOU,TE,-,-,-,-,-,6,69,-,-,-,-,-,12.9
5,Tyler Higbee,LA,DAL,TE,-,-,-,-,-,7,46,-,-,-,-,-,11.6
5,Adam Trautman,NO,SEA,TE,-,-,-,-,-,2,32,1,-,-,-,-,11.2
5,Zach Ertz,ARI,PHI,TE,-,-,-,-,-,6,48,-,-,-,-,-,10.8
5,Daniel Bellinger,NYG,GB,TE,-,-,-,2,1,2,22,-,-,-,-,-,10.4
5,Cade Otton,TB,ATL,TE,-,-,-,-,-,6,43,-,-,-,-,-,10.3
5,Hunter Henry,NE,DET,TE,-,-,-,-,-,4,54,-,-,-,-,-,9.4
5,Zach Gentry,PIT,BUF,TE,-,-,-,-,-,5,43,-,-,-,-,-,9.3
5,Eric Saubert,DEN,IND,TE,-,-,-,-,-,5,36,-,-,-,-,-,8.6
5,Cole Kmet,CHI,MIN,TE,-,-,-,-,-,4,45,-,-,-,-,-,8.5
5,Irv Smith,MIN,CHI,TE,-,-,-,-,-,4,42,-,-,-,-,-,8.2
5,Noah Fant,SEA,NO,TE,-,-,-,-,-,3,49,-,-,-,-,-,7.9
5,Durham Smythe,MIA,NYJ,TE,-,-,-,1,1,1,8,-,-,-,-,-,7.9
5,George Kittle,SF,CAR,TE,-,-,-,-,-,5,47,-,-,-,-,1,7.7
5,Marcedes Lewis,GB,NYG,TE,-,-,-,-,-,1,2,1,-,-,-,-,7.2
5,John Bates,WAS,TEN,TE,-,-,-,-,-,3,39,-,-,-,-,-,6.9
5,Robert Tonyan,GB,NYG,TE,-,-,-,-,-,4,23,-,-,-,-,-,6.3
5,Giovanni Ricci,CAR,SF,TE,-,-,-,-,-,3,27,-,-,-,-,-,5.7
5,Jesper Horsted,LV,KC,TE,-,-,-,-,-,3,19,-,-,-,-,-,4.9
5,Quintin Morris,BUF,PIT,TE,-,-,-,-,-,3,39,-,-,-,-,1,4.9
5,Jordan Akins,HOU,JAX,TE,-,-,-,-,-,2,22,-,-,-,-,-,4.2
5,Will Dissly,SEA,NO,TE,-,-,-,-,-,2,21,-,-,-,-,-,4.1
5,Mike Gesicki,MIA,NYJ,TE,-,-,-,-,-,1,30,-,-,-,-,-,4
5,Josiah Deguara,GB,NYG,TE,-,-,-,-,-,2,19,-,-,-,-,-,3.9
5,Chris Manhertz,JAX,HOU,TE,-,-,-,-,-,2,15,-,-,-,-,-,3.5
5,Pat Freiermuth,PIT,BUF,TE,-,-,-,-,-,2,12,-,-,-,-,-,3.2
5,Connor Heyward,PIT,BUF,TE,-,-,-,-,-,2,12,-,-,-,-,-,3.2
5,C.J. Uzomah,NYJ,MIA,TE,-,-,-,-,-,2,12,-,-,-,-,-,3.2
5,Dan Arnold,JAX,HOU,TE,-,-,-,-,-,1,20,-,-,-,-,-,3
5,Ian Thomas,CAR,SF,TE,-,-,-,-,-,2,8,-,-,-,-,-,2.8
5,Isaiah Likely,BAL,CIN,TE,-,-,-,-,-,2,7,-,-,-,-,-,2.7
5,Kylen Granson,IND,DEN,TE,-,-,-,-,-,1,16,-,-,-,-,-,2.6
5,Johnny Mundt,MIN,CHI,TE,-,-,-,-,-,2,6,-,-,-,-,-,2.6
5,Juwan Johnson,NO,SEA,TE,-,-,-,-,-,1,13,-,-,-,-,-,2.3
5,Anthony Firkser,ATL,TB,TE,-,-,-,-,-,1,11,-,-,-,-,-,2.1
5,Parker Hesse,ATL,TB,TE,-,-,-,-,-,1,9,-,-,-,-,-,1.9
5,Mo Alie-Cox,IND,DEN,TE,-,-,-,-,-,1,7,-,-,-,-,-,1.7
5,Noah Gray,KC,LV,TE,-,-,-,-,-,1,7,-,-,-,-,-,1.7
5,Austin Hooper,TEN,WAS,TE,-,-,-,-,-,1,7,-,-,-,-,-,1.7
5,T.J. Hockenson,DET,NE,TE,-,-,-,-,-,1,6,-,-,-,-,-,1.6
5,Albert Okwuegbunam,DEN,IND,TE,-,-,-,-,-,1,5,-,-,-,-,-,1.5
5,Geoff Swaim,TEN,WAS,TE,-,-,-,-,-,1,5,-,-,-,-,-,1.5
