Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,TwoPT,Lost,Points
1,Justice Hill,BAL,NYJ,RB,-,-,-,4,-,2,7,-,-,-,-,-,3.1
1,Matt Breida,NYG,TEN,RB,-,-,-,24,-,-,-,-,-,-,-,-,2.4
1,Alec Ingold,MIA,NE,RB,-,-,-,2,-,1,8,-,-,-,-,-,2
1,Patrick Ricard,BAL,NYJ,RB,-,-,-,-,-,1,7,-,-,-,-,-,1.7
1,C.J. Ham,MIN,GB,RB,-,-,-,-,-,1,6,-,-,-,-,-,1.6
1,Mark Ingram,NO,ATL,RB,-,-,-,22,-,1,1,-,-,-,-,1,1.3
1,Mike Boone,DEN,SEA,RB,-,-,-,-,-,1,2,-,-,-,-,-,1.2
1,Sony Michel,LAC,LV,RB,-,-,-,12,-,-,-,-,-,-,-,-,1.2
1,Mike Davis,BAL,NYJ,RB,-,-,-,11,-,-,-,-,-,-,-,-,1.1
1,Jakob Johnson,LV,LAC,RB,-,-,-,-,-,1,1,-,-,-,-,-,1.1
1,Jaylen Warren,PIT,CIN,RB,-,-,-,7,-,-,-,-,-,-,-,-,0.7
1,D'Onta Foreman,CAR,CLE,RB,-,-,-,5,-,-,-,-,-,-,-,-,0.5
1,Chuba Hubbard,CAR,CLE,RB,-,-,-,3,-,-,-,-,-,-,-,-,0.3
1,Travis Homer,SEA,DEN,RB,-,-,-,2,-,-,-,-,-,-,-,-,0.2
1,Damien Williams,ATL,NO,RB,-,-,-,2,-,-,-,-,-,-,-,-,0.2
1,Justin Jefferson,MIN,GB,WR,-,-,-,-,-,9,184,2,-,-,-,-,39.4
1,Cooper Kupp,LA,BUF,WR,-,-,-,-,-,13,128,1,-,-,-,-,31.8
1,Davante Adams,LV,LAC,WR,-,-,-,-,-,10,141,1,-,-,-,-,30.1
1,Ja'Marr Chase,CIN,PIT,WR,-,-,-,-,-,10,129,1,-,-,-,-,28.9
1,Michael Pittman,IND,HOU,WR,-,-,-,-,-,9,121,1,-,-,-,-,27.1
1,Stefon Diggs,BUF,LA,WR,-,-,-,-,-,8,122,1,-,-,-,-,26.2
1,A.J. Brown,PHI,DET,WR,-,-,-,-,-,10,155,-,-,-,-,-,25.5
1,Michael Thomas,NO,ATL,WR,-,-,-,-,-,5,57,2,-,-,-,-,22.7
1,Devin Duvernay,BAL,NYJ,WR,-,-,-,-,-,4,54,2,-,-,-,-,21.4
1,Robbie Anderson,CAR,CLE,WR,-,-,-,-,-,5,102,1,-,-,-,-,21.2
1,Amon-Ra St. Brown,DET,PHI,WR,-,-,-,-,-,8,64,1,-,-,-,-,20.4
1,Jerry Jeudy,DEN,SEA,WR,-,-,-,-,-,4,102,1,-,-,-,-,20.2
1,Curtis Samuel,WAS,JAX,WR,-,-,-,17,-,8,55,1,-,-,-,1,19.2
1,Gabe Davis,BUF,LA,WR,-,-,-,-,-,4,88,1,-,-,-,-,18.8
1,Jarvis Landry,NO,ATL,WR,-,-,-,-,-,7,114,-,-,-,-,-,18.4
1,Mike Evans,TB,DAL,WR,-,-,-,-,-,5,71,1,-,-,-,-,18.1
1,Jahan Dotson,WAS,JAX,WR,-,-,-,-10,-,3,40,2,-,-,-,-,18
1,Tyreek Hill,MIA,NE,WR,-,-,-,6,-,8,94,-,-,-,-,-,18
1,Christian Kirk,JAX,WAS,WR,-,-,-,-,-,6,117,-,-,-,-,-,17.7
1,Jaylen Waddle,MIA,NE,WR,-,-,-,8,-,4,69,1,-,-,-,-,17.7
1,DeAndre Carter,LAC,LV,WR,-,-,-,-,-,3,64,1,-,-,-,-,15.4
1,D.J. Chark,DET,PHI,WR,-,-,-,-,-,4,52,1,-,-,-,-,15.2
1,Brandin Cooks,HOU,IND,WR,-,-,-,-,-,7,82,-,-,-,-,-,15.2
1,Sterling Shepard,NYG,TEN,WR,-,-,-,-,-,2,71,1,-,-,-,-,15.1
1,Marquise Brown,ARI,KC,WR,-,-,-,-,-,4,43,1,-,-,-,-,14.3
1,Rashod Bateman,BAL,NYJ,WR,-,-,-,-,-,2,59,1,-,-,-,-,13.9
1,Terry McLaurin,WAS,JAX,WR,-,-,-,-,-,2,58,1,-,-,-,-,13.8
1,Corey Davis,NYJ,BAL,WR,-,-,-,-,-,6,77,-,-,-,-,-,13.7
1,Tyler Boyd,CIN,PIT,WR,-,-,-,-,-,4,33,1,-,-,-,-,13.3
1,Greg Dortch,ARI,KC,WR,-,-,-,-,-,7,63,-,-,-,-,-,13.3
1,Deebo Samuel,SF,CHI,WR,-,-,-,52,1,2,14,-,-,-,-,1,12.6
1,Diontae Johnson,PIT,CIN,WR,-,-,-,-,-,7,55,-,-,-,-,-,12.5
1,Zay Jones,JAX,WAS,WR,-,-,-,-,-,6,65,-,-,-,-,-,12.5
1,Drake London,ATL,NO,WR,-,-,-,-,-,5,74,-,-,-,-,-,12.4
1,Dante Pettis,CHI,SF,WR,-,-,-,-,-,1,51,1,-,-,-,-,12.1
1,Donovan Peoples-Jones,CLE,CAR,WR,-,-,-,-,-,6,60,-,-,-,-,-,12
1,JuJu Smith-Schuster,KC,ARI,WR,-,-,-,-,-,6,79,-,-,-,-,1,11.9
1,Noah Brown,DAL,TB,WR,-,-,-,-,-,5,68,-,-,-,-,-,11.8
1,Julio Jones,TB,DAL,WR,-,-,-,17,-,3,69,-,-,-,-,-,11.6
1,Courtland Sutton,DEN,SEA,WR,-,-,-,-,-,4,72,-,-,-,-,-,11.2
1,Richie James,NYG,TEN,WR,-,-,-,2,-,5,59,-,-,-,-,-,11.1
1,Keenan Allen,LAC,LV,WR,-,-,-,-,-,4,66,-,-,-,-,-,10.6
1,Mecole Hardman,KC,ARI,WR,-,-,-,-,-,3,16,1,-,-,-,-,10.6
1,Kyle Philips,TEN,NYG,WR,-,-,-,-,-,6,66,-,-,-,-,1,10.6
1,Ty Montgomery,NE,MIA,WR,-,-,-,-2,-,3,15,1,-,-,-,-,10.3
1,Jauan Jennings,SF,CHI,WR,-,-,-,-,-,4,62,-,-,-,-,-,10.2
1,Jakobi Meyers,NE,MIA,WR,-,-,-,7,-,4,55,-,-,-,-,-,10.2
1,Isaiah McKenzie,BUF,LA,WR,-,-,-,-,-,2,19,1,-,-,-,-,9.9
1,Elijah Moore,NYJ,BAL,WR,-,-,-,-,-,5,49,-,-,-,-,-,9.9
1,Chase Claypool,PIT,CIN,WR,-,-,-,36,-,4,18,-,-,-,-,-,9.4
1,Garrett Wilson,NYJ,BAL,WR,-,-,-,-,-,4,52,-,-,-,-,-,9.2
1,Chris Olave,NO,ATL,WR,-,-,-,-,-,3,41,-,-,-,1,-,9.1
1,Romeo Doubs,GB,MIN,WR,-,-,-,11,-,4,37,-,-,-,-,-,8.8
1,Equanimeous St. Brown,CHI,SF,WR,-,-,-,-,-,1,18,1,-,-,-,-,8.8
1,Braxton Berrios,NYJ,BAL,WR,-,-,-,-,-,5,37,-,-,-,-,-,8.7
1,DK Metcalf,SEA,DEN,WR,-,-,-,-,-,7,36,-,-,-,-,1,8.6
1,Treylon Burks,TEN,NYG,WR,-,-,-,-,-,3,55,-,-,-,-,-,8.5
1,Marquez Valdes-Scantling,KC,ARI,WR,-,-,-,-3,-,4,44,-,-,-,-,-,8.1
1,D.J. Moore,CAR,CLE,WR,-,-,-,7,-,3,43,-,-,-,-,-,8
1,Marvin Jones,JAX,WAS,WR,-,-,-,-,-,4,38,-,-,-,-,-,7.8
1,Ashton Dulin,IND,HOU,WR,-,-,-,-,-,3,46,-,-,-,-,-,7.6
1,Olamide Zaccheaus,ATL,NO,WR,-,-,-,-,-,4,49,-,-,-,-,1,6.9
1,KhaDarel Hodge,ATL,NO,WR,-,-,-,-,-,3,38,-,-,-,-,-,6.8
1,Brandon Aiyuk,SF,CHI,WR,-,-,-,7,-,2,40,-,-,-,-,-,6.7
1,Parris Campbell,IND,HOU,WR,-,-,-,-,-,3,37,-,-,-,-,-,6.7
1,Adam Thielen,MIN,GB,WR,-,-,-,-,-,3,36,-,-,-,-,-,6.6
1,Chris Godwin,TB,DAL,WR,-,-,-,-,-,3,35,-,-,-,-,-,6.5
1,Ben Skowronek,LA,BUF,WR,-,-,-,-,-,4,25,-,-,-,-,-,6.5
1,Chris Moore,HOU,IND,WR,-,-,-,-,-,3,31,-,-,-,-,-,6.1
1,Christian Watson,GB,MIN,WR,-,-,-,7,-,2,34,-,-,-,-,-,6.1
1,Jamison Crowder,BUF,LA,WR,-,-,-,-,-,3,28,-,-,-,-,-,5.8
1,Tyler Lockett,SEA,DEN,WR,-,-,-,-,-,3,28,-,-,-,-,-,5.8
1,Mike Strachan,IND,HOU,WR,-,-,-,-,-,2,36,-,-,-,-,-,5.6
1,Kendrick Bourne,NE,MIA,WR,-,-,-,-,-,1,41,-,-,-,-,-,5.1
1,Hunter Renfrow,LV,LAC,WR,-,-,-,-,-,3,21,-,-,-,-,-,5.1
1,CeeDee Lamb,DAL,TB,WR,-,-,-,-,-,2,29,-,-,-,-,-,4.9
1,Anthony Schwartz,CLE,CAR,WR,-,-,-,20,-,1,19,-,-,-,-,-,4.9
1,Sammy Watkins,GB,MIN,WR,-,-,-,-,-,3,18,-,-,-,-,-,4.8
1,Ced Wilson,MIA,NE,WR,-,-,-,8,-,2,20,-,-,-,-,-,4.8
1,Amari Cooper,CLE,CAR,WR,-,-,-,-,-,3,17,-,-,-,-,-,4.7
1,Tee Higgins,CIN,PIT,WR,-,-,-,-,-,2,27,-,-,-,-,-,4.7
1,Nico Collins,HOU,IND,WR,-,-,-,-,-,2,26,-,-,-,-,-,4.6
1,K.J. Osborn,MIN,GB,WR,-,-,-,-,-,3,14,-,-,-,-,-,4.4
